mnn,trade_name,drug_id,file_name
Винорелбин,Фирелбин,25a36f10-cc95-411c-8848-ab81a58a99f7,24d73831-ea5a-4cb0-b8a3-dcb6e10b2c9a.pdf
Винорелбин,ЦИТУВИН,908e4f25-a389-402f-b310-7ea1243b7628,afeea782-46ce-40db-ae5f-4b90279b8dc9.pdf
Винорелбин,Фирелбин,ea838a27-f928-4dd4-9d0a-33fcdf677cbb,b1e6ad08-1b71-4c9e-bb4c-8063dd317b7a.pdf
Винорелбин,НАВЕЛЬБИН,4ea1ded6-60f8-4d53-bb99-9fa3a0c8c38d,cdffd704-009b-4180-a7ad-0de83f12e10e.pdf
Винорелбин,ВИНОРЕЛБИН,3875dbf9-03de-4a3e-8aa8-5e7e0052f648,f9e1b77c-e651-4919-8d93-46b9a6ccd21d.pdf
Винорелбин,ВИНОРЕЛБИН,d85fde7e-d441-47fa-8be5-b5cdb1dc7b2c,c0ca5f94-e84f-4257-ae87-d086c2ac592b.pdf
Винорелбин,Винорелбин Келун-Казфарм,3f70a6cf-b705-40a6-8bc5-781ddb695e35,df9cb712-c6c4-4b25-a0b7-c3d8ce33ec2b.pdf
Винорелбин,ВИНОРЕЛБИН,9f270b2c-ff1f-4a1f-a92b-af837992da28,f659a127-a4c1-4d13-bce0-f76b0670814c.pdf
Висмодегиб,ВИСМОДЕГИБ-ПРОМОМЕД,614dd540-d12b-4ce7-a89d-8737205d51de,800a725a-5f5c-4763-be91-1b43c1b0f4ff.pdf
Висмодегиб,Эриведж,75ab61c4-a061-44ae-ae66-1fffd8ed2d28,cbdc3fa9-58c7-464e-b163-ed8710ae3a08.pdf
Гемтузумаб озогамицин,Милотарг,5fef4f5d-ce52-42bb-ae1b-442e9ad65b5e,824714d1-cf14-4910-9b84-bf0ff74e1d8e.pdf
Гемцитабин,Гемцитовер,195ca493-7e85-4135-bee9-1576d2920e8a,0f20df4b-b3c1-4d2c-abf6-ac1e746c04ba.pdf
Гемцитабин,Гемцитабин-АМЕДАРТ,cbe9d205-5920-4b4f-912d-4627ae5f52f8,24c7aabb-44b6-483e-88cb-fbde52b2e871.pdf
Гемцитабин,Гемцивин,4a5201cd-3fa9-4606-83c7-4ff19a4397b0,5e523e94-929d-4c79-a8f7-8a28c9b0824a.pdf
Гемцитабин,Гемцитабин-АМЕДАРТ,0f87e0dd-3801-40f3-b523-8606d4076286,dfbf3b73-ce74-4942-bbdf-db83b3047b9c.pdf
Гемцитабин,Гемцитабин-РОНЦ,bc2595f7-b974-4340-ac03-81128e5b91a3,0bdaa907-eba9-40a2-8558-00dd03ab21a5.pdf
Гемцитабин,Гемцитабин-Тева,3157ffa4-c2d8-4671-b25c-46040b4abbe3,16ebfa81-ebbb-4e72-ab74-db8228017c40.pdf
Гемцитабин,ГЕМЦИТАБИН,bfc00ea8-4d95-478b-bd4c-4e714243782a,41338e2b-2f28-4e06-a046-d13d22ecc322.pdf
Гемцитабин,ГЕМЦИТАБИН-ПРОМОМЕД,f713caf7-5e79-4486-afb0-d87677e5336d,58103554-e4cf-4d7e-943c-198f91e5b990.pdf
Гемцитабин,Гемцитабин-Эбеве,35e38772-5c9f-4ac5-bac9-038d71b0a7b3,72ef0352-d7b3-4142-8239-f3bd66eeb62b.pdf
Гемцитабин,Гемита,d2c2bbe6-a43f-40dc-907b-1431e9de3649,b03c6175-665f-4935-914e-ffee2b83174e.pdf
Гидразина сульфат,Сегидрин,9dbf8bac-bca4-41bc-b57e-9578f7424220,0c846bd9-895d-4d36-bf08-4f9d5f14aef0.pdf
Гидроксикарбамид,Гидроксикарбамид-натив,cbd798f3-a14c-4d3e-a703-ccd83bfb4bc0,e9c75264-8208-4523-850b-f942296c920a.pdf
